Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs
LOL,1.5,1.8,178506,71203.0,2012-09-12,96.0,13.0,2071.0,231.0
Madagascar 3: Europe's Most Wanted,3.0,3.6,146915,213689062.0,2012-06-06,93.0,23.0,7372.0,745.0
To Rome with Love,2.6,2.8,192634,15089051.0,2012-07-04,111.0,22.0,3167.0,455.0
40 Days and Nights,,1.3,213200,,2013-09-17,86.0,,65.0,23.0
Silent Night,,2.1,205950,,2020-10-08,89.0,,109.0,18.0
Chasing Mavericks,2.0,4.0,179672,5230000.0,2012-11-28,116.0,9.0,1126.0,128.0
No,4.1,3.9,197326,276596.0,2013-03-06,117.0,28.0,1926.0,221.0
House at the End of the Street,,2.7,182518,30782862.0,2012-11-21,101.0,,1761.0,255.0
This Is 40,3.4,2.4,189379,66349000.0,2013-03-13,134.0,24.0,2754.0,363.0
Red Lights,,2.7,186634,,2014-04-11,113.0,,867.0,117.0
The Pirates! Band of Misfits,4.0,3.4,43118,28560404.0,2012-03-28,89.0,20.0,2140.0,311.0
Red Tails,,2.9,120385,48670098.0,2020-03-24,,,298.0,36.0
Out in the Dark,2.8,4.0,208066,9681.0,2013-05-22,96.0,11.0,321.0,58.0
Abraham Lincoln: Vampire Hunter,2.3,2.4,184552,35898000.0,2012-08-08,105.0,19.0,5094.0,742.0
The Bay,3.6,2.2,185284,80274.0,2013-06-19,88.0,20.0,1797.0,347.0
Premium Rush,3.0,3.2,185050,18800000.0,2012-09-05,91.0,9.0,3052.0,412.0
That's My Boy,,2.6,189527,34300000.0,2015-01-01,116.0,,644.0,76.0
The Three Stooges,3.0,1.5,140421,43118000.0,2012-07-25,92.0,5.0,199.0,48.0
Temptation: Confessions of a Marriage Counselor,,3.0,203544,51700000.0,2016-04-27,111.0,,47.0,7.0
Seeking a Friend for the End of the World,2.9,3.0,192332,6619173.0,2012-08-08,100.0,17.0,2933.0,366.0
The Paperboy,2.6,2.5,193901,152462.0,2012-10-17,111.0,28.0,2320.0,375.0
Breathe In,,3.0,196811,,2018-04-30,98.0,,263.0,21.0
Thanks for Sharing,,2.8,193832,,2015-07-15,112.0,,293.0,17.0
The Brass Teapot,,3.3,196372,,2014-05-15,106.0,,168.0,23.0
Halo 4 - Forward Unto Dawn,,3.3,220695,,2018-12-29,82.0,,316.0,32.0
The Watch,2.6,2.3,139358,33000000.0,2012-09-12,100.0,19.0,2847.0,424.0
To the Wonder,2.8,2.3,178063,84252.0,2013-03-06,113.0,29.0,2406.0,266.0
Stuck in Love,,3.8,202794,,2015-08-28,97.0,,636.0,39.0
The Raven,2.2,3.0,170893,14723775.0,2012-06-20,111.0,14.0,1101.0,191.0
Six Bullets,,2.8,208704,,2017-03-01,115.0,,340.0,76.0
ParaNorman,3.8,3.7,194879,54917000.0,2012-08-22,87.0,17.0,2170.0,289.0
Eden,2.2,3.0,195572,,2013-11-13,97.0,11.0,170.0,31.0
Disconnect,,4.1,180755,1300000.0,2018-02-01,115.0,,658.0,56.0
Twixt,3.0,2.3,187192,106347.0,2012-04-11,89.0,33.0,2714.0,311.0
Ruby Sparks,2.7,3.8,205375,1240600.0,2012-10-03,103.0,18.0,1934.0,205.0
Wrong Turn 5: Bloodlines,,1.8,213021,,2015-02-01,85.0,,397.0,49.0
V/H/S,,2.4,203763,,2017-11-19,116.0,,869.0,161.0
Gambit,2.5,2.1,188147,91892.0,2013-02-06,89.0,13.0,909.0,139.0
The Company You Keep,2.7,3.2,142773,4510500.0,2013-05-08,122.0,20.0,2050.0,286.0
The Devil Inside,2.1,1.5,193483,51289972.0,2012-02-22,83.0,8.0,2098.0,468.0
What To Expect When You're Expecting,1.6,2.6,193517,39797947.0,2012-06-20,110.0,14.0,2212.0,226.0
Act of Valor,,3.4,195562,68764310.0,2014-07-09,101.0,,576.0,69.0
Walking With Dinosaurs 3D,2.4,2.4,187818,7300000.0,2013-12-18,87.0,5.0,514.0,95.0
Tinker Bell: Secret of the Wings,2.4,3.8,208154,1412257.0,2012-10-10,77.0,8.0,1453.0,145.0
The Sessions,3.4,3.8,193256,5209000.0,2013-03-06,95.0,20.0,967.0,126.0
The Odd Life of Timothy Green,,3.5,147452,50193000.0,2019-02-01,105.0,,424.0,36.0
Identity Thief,1.9,2.4,196847,133967500.0,2013-06-12,112.0,12.0,1408.0,153.0
"Batman : The Dark Knight Returns, Part 1",,4.2,209565,,2013-05-02,72.0,,967.0,78.0
Gone,1.9,2.6,190351,10727070.0,2012-05-23,95.0,12.0,1302.0,229.0
The Man with the Iron Fists,2.6,2.3,186373,15210000.0,2013-01-02,96.0,16.0,1684.0,257.0
Arbitrage,3.2,2.7,187453,7547000.0,2012-12-12,106.0,13.0,1042.0,174.0
Contraband,2.6,3.1,188159,65743000.0,2012-05-16,111.0,15.0,2803.0,311.0
Brake,,2.5,202744,,2012-12-03,92.0,,205.0,41.0
Step Up Revolution,2.4,3.7,187274,33709000.0,2012-08-08,94.0,5.0,3381.0,409.0
The Factory,,2.5,132114,,2013-05-29,104.0,,437.0,85.0
Rampart,3.4,2.3,180578,4588.0,2013-07-03,107.0,14.0,476.0,89.0
Aftershock,,1.7,188078,,2013-11-27,89.0,,350.0,71.0
Compliance,3.3,2.8,206720,23194.0,2012-09-26,90.0,24.0,865.0,193.0
Werewolf: The Beast Among Us,,2.1,210527,,2013-02-01,93.0,,106.0,26.0
The Expatriate,,2.8,187942,,2012-09-26,100.0,,606.0,71.0
The ABCs of Death,,2.4,198754,,2013-12-04,123.0,,267.0,50.0
Freelancers,,2.0,192207,,2015-01-01,96.0,,410.0,60.0
Chernobyl Diaries,1.5,2.0,203597,16942685.0,2012-07-11,86.0,6.0,1835.0,415.0
The We and The I,3.8,3.2,179165,104004.0,2012-09-12,103.0,25.0,1428.0,181.0
Stolen,1.4,2.1,189091,114699.0,2013-07-24,96.0,5.0,1201.0,196.0
Love and Honor,,2.5,187819,,2016-06-06,95.0,,236.0,10.0
Nazis at the Center of the Earth,,1.2,204742,,2013-08-06,89.0,,104.0,44.0
Get the Gringo,,3.0,105104,,2012-10-16,92.0,,1060.0,141.0
Bad Ass,,2.5,201108,,2012-07-04,90.0,,518.0,72.0
Hit and Run,1.8,2.4,203004,12503750.0,2012-08-29,100.0,12.0,1090.0,189.0
Alex Cross,1.3,1.8,191866,25215000.0,2012-12-19,101.0,8.0,1145.0,207.0
USS Seaviper,,1.8,208906,,2012-12-27,102.0,,29.0,10.0
A Perfect Ending,,3.8,215912,,2013-07-01,106.0,,79.0,13.0
Universal Soldier : Day Of Reckoning,,2.0,181877,,2013-01-23,114.0,,415.0,108.0
Bachelorette,2.2,1.9,193422,172871.0,2012-10-17,86.0,20.0,1686.0,225.0
The Lords of Salem,,2.1,185969,642942.0,2013-05-15,101.0,,681.0,137.0
Fire with Fire,,2.2,194875,,2013-07-03,97.0,,771.0,106.0
Byzantium,,3.2,193906,,2014-01-02,118.0,,608.0,66.0
Emperor,,3.3,199126,2028581.0,2014-04-11,105.0,,179.0,33.0
Being Flynn,3.0,3.3,180692,2654.0,2012-09-05,106.0,2.0,420.0,59.0
Apartment 1303 3D,,1.1,224095,,2013-10-15,85.0,,140.0,31.0
Deadfall,,2.6,119517,,2013-03-05,95.0,,706.0,103.0
Robot and Frank,3.4,3.7,195967,26446.0,2012-09-19,85.0,22.0,725.0,104.0
Diary of a Wimpy Kid: Dog Days,,2.6,197104,46742100.0,2012-10-24,94.0,,221.0,19.0
Here Comes the Boom,,3.5,181409,42352250.0,2013-06-05,105.0,,484.0,65.0
Abraham Lincoln vs. Zombies,,1.3,206292,,2012-12-13,96.0,,172.0,38.0
Big Miracle,1.8,3.3,146328,18903580.0,2012-04-18,107.0,4.0,287.0,33.0
Home Alone: The Holiday Heist,,1.7,224266,,2021-01-28,90.0,,39.0,5.0
Hope Springs,2.1,2.9,185999,62154383.0,2012-10-10,100.0,14.0,904.0,147.0
American Mary,,3.3,214750,,2015-03-03,81.0,,152.0,35.0
The Stranger Within,,1.6,203412,,2015-01-01,,,59.0,17.0
Grave Encounters 2,,2.1,212275,,2018-02-20,108.0,,437.0,76.0
Starship Troopers: Invasion,,2.9,198479,,2012-10-10,81.0,,345.0,64.0
American Warship,,1.3,200991,,2012-10-16,131.0,,97.0,32.0
Vehicle 19,,1.9,193250,,2013-11-20,85.0,,389.0,64.0
Random Acts of Violence,2.4,2.1,213478,1751.0,2013-01-23,86.0,9.0,63.0,16.0
Liberal Arts,,3.5,192183,,2015-02-03,101.0,,244.0,22.0
John Dies at the End,,3.2,134361,,2014-07-09,99.0,,228.0,29.0
No One Lives,,2.5,194885,,2017-10-04,86.0,,460.0,92.0
Hemingway & Gellhorn,,3.1,196385,,2013-10-02,154.0,,146.0,24.0
Wanderlust,2.0,1.9,192221,16744125.0,2012-05-30,99.0,10.0,805.0,88.0
The Battery,,3.3,219923,,2023-10-16,100.0,,201.0,32.0
Mafia,,1.7,214594,,2014-04-15,92.0,,36.0,5.0
Paranormal Activity 4,2.4,1.9,198903,53504598.0,2012-10-31,95.0,10.0,3312.0,571.0
Dark Tide,,1.7,172434,,2018-12-15,102.0,,159.0,21.0
The Baytown Outlaws,,3.3,193916,,2013-04-03,98.0,,433.0,59.0
Five Dances,2.6,3.8,221375,832.0,2013-06-19,83.0,7.0,96.0,16.0
Collision Course,,1.8,221802,,2013-10-31,98.0,,38.0,8.0
Stash House,,2.0,206401,,2013-03-05,99.0,,78.0,19.0
The Guilt Trip,,2.2,189981,34464057.0,2019-04-01,96.0,,226.0,25.0
Seal Team Six: The Raid On Osama Bin Laden,,2.5,198958,,2013-04-03,90.0,,152.0,26.0
Keep the Lights On,3.5,3.4,200341,13267.0,2012-08-22,101.0,14.0,311.0,45.0
Jersey Shore Shark Attack,,1.2,126258,,2014-04-22,87.0,,69.0,14.0
I Want Your Love,2.6,2.3,213723,2911.0,2013-05-01,71.0,8.0,155.0,20.0
Sushi Girl,,2.5,196195,,2013-10-01,98.0,,98.0,21.0
Seven Below,,1.4,195862,,2014-01-02,92.0,,123.0,27.0
Welcome to the Punch,,2.7,193086,,2013-08-01,99.0,,576.0,71.0
2-Headed Shark Attack,,1.1,200870,,2020-06-17,88.0,,207.0,57.0
Air Collision,,1.5,211625,,2014-02-04,92.0,,39.0,13.0
A Late Quartet,2.9,3.4,189440,33175.0,2013-07-10,105.0,15.0,219.0,42.0
Columbus Circle,,2.0,148360,,2017-07-19,,,202.0,30.0
Much Ado About Nothing,3.2,3.5,198853,2997000.0,2014-01-29,109.0,14.0,227.0,56.0
Friends With Kids,2.2,2.4,186783,6324949.0,2012-08-01,106.0,12.0,742.0,110.0
Girl Most Likely,2.7,2.7,196755,736000.0,2013-08-07,103.0,17.0,561.0,101.0
Death Race: Inferno,,2.1,200837,,2013-03-26,100.0,,382.0,54.0
The Scorpion King 3: Battle for Redemption,,1.5,189160,,2012-02-28,105.0,,188.0,30.0
True Bloodthirst,,1.9,213404,,2018-08-08,89.0,,106.0,24.0
Joyful Noise,,2.7,186328,28964458.0,2012-09-19,118.0,,52.0,7.0
Sparkle,,3.7,197378,23374162.0,2015-01-01,116.0,,127.0,10.0
A Resurrection,,1.6,219348,,2014-01-14,86.0,,80.0,18.0
Cirque du Soleil: Worlds Away,,4.0,203790,10858000.0,2013-03-21,105.0,,105.0,24.0
The Philly Kid,,2.7,206040,,2012-10-18,95.0,,67.0,13.0
The Barrens,,1.6,211767,,2013-02-11,94.0,,237.0,70.0
Extracted,,3.4,218529,,2013-03-01,85.0,,403.0,66.0
El Gringo,,2.0,206308,,2013-02-13,94.0,,186.0,46.0
Hijacked,,1.7,208931,,2012-12-05,90.0,,56.0,15.0
Smashed,,3.2,200349,,2015-01-01,85.0,,192.0,28.0
Transit,,2.7,201348,,2012-01-03,84.0,,175.0,39.0
Cabin Fever: Patient Zero,,1.7,199043,,2014-07-07,95.0,,219.0,49.0
Arcadia,2.9,3.0,202927,350.0,2014-01-01,91.0,7.0,20.0,5.0
Maximum Conviction,,2.2,203604,,2013-04-10,94.0,,84.0,12.0
Fortress,,1.5,202754,,2012-07-03,100.0,,67.0,27.0
Under the Bed,,1.5,215189,,2013-06-19,87.0,,113.0,31.0
Saints and Soldiers: Airborne Creed,,2.2,201274,,2013-04-24,94.0,,154.0,26.0
Super Cyclone,,1.6,211055,,2013-11-06,85.0,,23.0,9.0
The 12 Disasters of Christmas,,1.5,220700,,2014-06-17,86.0,,58.0,12.0
Parental Guidance,,2.2,197155,74357000.0,2013-03-13,100.0,,176.0,20.0
Won't Back Down,,3.5,199297,4483670.0,2017-01-12,121.0,,69.0,11.0
Soldiers of Fortune,,1.7,183386,,2012-10-18,95.0,,210.0,50.0
Radio Rebel,,2.9,213829,,2013-03-05,89.0,,189.0,14.0
Vamps,,2.1,179154,,2013-03-27,92.0,,129.0,20.0
Frenemies (TV),,2.6,206147,,2020-03-24,95.0,,74.0,6.0
Mass Effect: Paragon Lost,,2.8,211911,,2013-03-27,84.0,,91.0,16.0
Battlefield America,,2.9,202810,,2012-12-13,106.0,,54.0,8.0
Grimm's Snow White,,1.7,206683,,2012-08-01,90.0,,66.0,21.0
Stranded,,1.2,218528,,2018-12-14,84.0,,129.0,37.0
"For A Good Time, Call...",,2.6,200616,,2013-09-03,83.0,,145.0,18.0
Ghoul,,1.6,215707,,2014-10-21,80.0,,41.0,15.0
Clash of the Empires,,1.4,214231,,2014-06-24,87.0,,21.0,8.0
Celeste and Jesse Forever,,3.4,145365,,2015-09-16,91.0,,142.0,10.0
Lola Versus,3.3,2.4,193417,214.0,2012-11-28,87.0,3.0,185.0,18.0
Lay the Favorite,1.7,1.8,175041,27169.0,2012-08-08,93.0,18.0,576.0,83.0
Justice League: Doom,,4.0,208389,,2012-07-04,74.0,,224.0,19.0
Barbie: The Princess & The Popstar,,3.5,209795,,2012-11-02,76.0,,106.0,5.0
Electrick Children,2.6,3.8,201435,6143.0,2013-06-26,93.0,13.0,122.0,17.0
Alien Dawn,,1.0,212036,,2013-06-04,86.0,,96.0,35.0
Cloned: The Recreator Chronicles,,1.9,193853,,2019-03-13,87.0,,51.0,11.0
Attack of the 50 foot Cheerleader,,1.5,234293,,2019-04-01,83.0,,39.0,5.0
Playback,,1.6,185576,,2014-04-08,98.0,,98.0,19.0
So Undercover,,2.6,187454,,2013-07-03,94.0,,351.0,27.0
Five Hours South,,1.8,217670,,2013-02-19,98.0,,39.0,5.0
Bigfoot (TV),,1.4,211488,,2023-04-19,89.0,,23.0,11.0
Girl Vs. Monster,,2.3,224338,,2020-03-24,89.0,,51.0,9.0
Fun Size,,2.1,182257,8793000.0,2013-04-10,86.0,,189.0,20.0
People Like Us,,3.5,185116,11162000.0,2020-07-29,115.0,,202.0,27.0
Piranhaconda,,1.2,206673,,2013-10-22,86.0,,88.0,24.0
Una Noche,3.4,3.4,201830,4736.0,2013-11-27,90.0,12.0,83.0,14.0
Aquí y allá,3.6,3.1,206627,3137.0,2013-02-13,110.0,18.0,53.0,8.0
30 Beats,1.9,2.7,201443,1647.0,2012-03-21,88.0,15.0,41.0,10.0
Rise of the Zombies,,1.5,217133,,2013-09-17,87.0,,121.0,34.0
Tomorrow You're Gone,,1.6,217717,,2013-03-27,92.0,,56.0,13.0
American Horror House,,1.1,222270,,2017-06-08,83.0,,49.0,14.0
Tooth Fairy 2,,1.8,202771,,2021-02-10,85.0,,42.0,8.0
Dragon Age - Dawn of the Seeker,,2.0,213767,,2012-12-05,94.0,,69.0,12.0
Struck by Lightning,2.6,3.3,188838,6031.0,2013-06-19,83.0,9.0,292.0,43.0
Supernatural Activity,,1.0,211789,,2013-04-03,96.0,,98.0,23.0
Dragon Eyes,,1.7,193660,,2012-07-18,91.0,,131.0,25.0
The Swan Princess Christmas,,1.8,214184,,2012-12-05,90.0,,20.0,6.0
For Ellen,2.5,2.3,177501,4260.0,2012-09-19,93.0,15.0,92.0,23.0
Zombie Massacre,,1.3,131192,,2012-09-18,91.0,,97.0,28.0
The Girl from the Naked Eye,,2.0,198859,,2013-01-09,84.0,,61.0,13.0
Kiss of the Damned,,2.5,195033,,2014-02-26,95.0,,65.0,14.0
Gimme the Loot,3.6,2.9,203507,11987.0,2013-01-02,81.0,16.0,216.0,26.0
Wyatt Earp's Revenge,,2.0,191905,,2012-05-09,93.0,,35.0,5.0
Leave It On The Floor,2.9,3.0,196730,1763.0,2013-08-07,105.0,10.0,30.0,7.0
Snow White: A Deadly Summer,,1.2,202758,,2012-10-16,85.0,,59.0,28.0
Gallowwalkers,,1.3,125047,,2014-08-22,96.0,,152.0,34.0
Osombie,,1.5,203109,,2014-02-19,94.0,,65.0,21.0
Nitro Circus: The Movie,,3.6,209965,2166159.0,2013-02-28,88.0,,47.0,5.0
Any Day Now,3.2,4.0,214822,2281.0,2015-01-07,98.0,9.0,90.0,16.0
Small Apartments,,2.9,189908,,2015-01-01,92.0,,100.0,18.0
The Apparition,,1.8,174988,2841488.0,2013-08-23,82.0,,107.0,21.0
Somebody Up There Likes Me,3.0,3.0,209976,1963.0,2013-01-23,76.0,12.0,39.0,7.0
Cottage Country,,2.2,197896,,2015-02-01,91.0,,95.0,21.0
Daylight Fades,,1.7,203411,,2012-02-14,79.0,,46.0,14.0
Alien Tornado,,1.4,211599,,2012-09-05,90.0,,51.0,14.0
Population: 2,,1.2,223567,,2013-09-17,83.0,,52.0,16.0
The Babymakers,,2.4,194846,,2013-04-24,96.0,,62.0,6.0
Kill for me,,2.6,216934,,2019-08-16,95.0,,49.0,8.0
The Outback,,2.9,195522,,2020-08-27,95.0,,3.0,9.0
Drew Peterson: Untouchable (TV),,2.7,213967,,2021-11-05,100.0,,46.0,8.0
An Oversimplification of Her Beauty,1.3,2.2,213307,1200.0,2013-08-14,84.0,3.0,20.0,7.0
Dead Season,,1.8,207845,,2012-06-05,85.0,,121.0,31.0
Android Insurrection,,1.1,204622,,2012-08-21,94.0,,49.0,25.0
Rise of the Fellowship,,2.2,223593,,2014-06-17,98.0,,27.0,5.0
Superman vs. The Elite,,3.7,208403,,2016-03-21,76.0,,89.0,12.0
Playing For Keeps,,2.6,190733,12410463.0,2014-01-24,105.0,,280.0,24.0
Chained,,3.9,203949,,,94.0,,143.0,30.0
Excision,,3.0,207427,,,81.0,,174.0,25.0
Would You Rather,,2.9,205693,,,93.0,,146.0,16.0
Hick,,3.5,182408,,,99.0,,124.0,9.0
Mac & Devin Go to High School,,2.6,192038,,,,,143.0,6.0
The Forger,,2.7,203525,,,98.0,,86.0,7.0
Resolution,,3.1,197161,,,89.0,,44.0,11.0
Starlet,,3.5,204031,,,103.0,,55.0,7.0
Marfa Girl,4.0,3.3,214067,,,105.0,1.0,42.0,5.0
About Cherry,,2.1,194156,,,97.0,,142.0,16.0
One in the Chamber,,2.3,206618,,,90.0,,79.0,16.0
Found,,3.6,224435,,,103.0,,36.0,13.0
Safety Not Guaranteed,,3.5,200347,1074533.0,,85.0,,242.0,30.0
Bad Kids go to Hell,,1.7,209892,,,91.0,,90.0,18.0
Black November,,2.9,227796,,,95.0,,24.0,5.0
Smiley,,2.0,213518,,,99.0,,37.0,6.0
Goats,,3.0,187279,,,94.0,,17.0,5.0
What Maisie Knew,,3.6,193740,543000.0,,99.0,,65.0,7.0
The Lifeguard,,3.5,210256,,,98.0,,62.0,7.0
A Mother's Nightmare (TV),,3.5,219509,,,90.0,,94.0,16.0
The Girl (TV),,3.3,200617,,,91.0,,46.0,5.0
Lake Placid: The Final Chapter,,1.4,215714,,,86.0,,80.0,15.0
Rogue River,,1.7,207067,,,95.0,,92.0,31.0
Not Fade Away,,2.6,189809,,,113.0,,44.0,5.0
Girl in Progress,,2.8,189596,2138000.0,,93.0,,131.0,12.0
I Will Follow You Into The Dark,,1.8,207252,,,112.0,,38.0,5.0
Blue-Eyed Butcher (TV),,2.7,214083,,,100.0,,44.0,9.0
Arachnoquake,,1.4,214177,,,86.0,,59.0,17.0
The Thompsons,,1.9,211914,,,82.0,,90.0,19.0
Evidence,,2.5,50734,,,78.0,,42.0,12.0
Java Heat,,2.0,198266,,,108.0,,64.0,12.0
Crave,,2.2,174539,,,113.0,,51.0,9.0
Foodfight !,,1.0,101015,,,87.0,,46.0,13.0
Black Rock,,1.8,193742,,,83.0,,81.0,18.0
The Boogeyman,,2.1,217172,,,90.0,,28.0,10.0
Static,,3.1,192317,,,83.0,,30.0,7.0
Black Forest,,2.3,219013,,,90.0,,35.0,8.0
Bigfoot County,,1.7,221223,,,82.0,,36.0,12.0
Shark Week,,1.2,223470,,,89.0,,67.0,27.0
The Grief Tourist,,1.6,185191,,,80.0,,26.0,7.0
Last Hours in Suburbia,,2.3,217587,,,100.0,,25.0,6.0
The Pregnancy Project,,3.5,213502,,,90.0,,34.0,5.0
Christmas Twister,,2.4,222295,,,100.0,,18.0,5.0
Ahí va el diablo,,2.3,213222,,,94.0,,26.0,7.0
"Joshua Tree, 1951: A Portrait of James Dean",,3.5,213576,,2014-02-18,93.0,,19.0,5.0
Murder on the 13th Floor,,2.4,217204,,,100.0,,27.0,6.0
Donner Pass,,2.5,214027,,,82.0,,9.0,5.0
The Counselor,2.4,1.8,202971,13368000.0,2013-11-13,111.0,23.0,5658.0,887.0
The Hunger Games - Catching Fire,3.6,3.9,196666,407488000.0,2013-11-27,146.0,22.0,43261.0,1927.0
Escape Plan,1.6,3.4,135257,21600000.0,2013-11-13,116.0,9.0,6566.0,667.0
Her,3.9,4.1,206799,448841.0,2014-03-19,126.0,34.0,23952.0,1333.0
Elysium,2.7,3.4,182991,88388000.0,2013-08-14,110.0,20.0,26701.0,1702.0
The Wolf Of Wall Street,4.0,4.2,127524,104077000.0,2013-12-25,179.0,24.0,52401.0,2611.0
Prisoners,3.8,4.3,180887,59949000.0,2013-10-09,153.0,20.0,34242.0,2049.0
Frozen,3.5,3.9,203691,396356000.0,2013-11-20,102.0,20.0,29100.0,1432.0
The Great Gatsby,2.8,3.9,141808,141600513.0,2013-05-15,142.0,17.0,31038.0,1858.0
Mindscape,,3.5,197116,,2022-12-05,98.0,,818.0,87.0
Side Effects,3.6,3.6,200313,30482781.0,2013-04-03,106.0,27.0,6583.0,742.0
The Grand Budapest Hotel,4.5,4.2,207825,51506000.0,2014-02-26,100.0,34.0,29636.0,1285.0
Labor Day,3.2,3.9,172227,10172000.0,2014-04-30,111.0,20.0,3047.0,305.0
The Conjuring,3.3,4.0,203607,131766000.0,2013-08-21,110.0,19.0,23675.0,1693.0
Now You See Me,2.3,3.9,182605,114440000.0,2013-07-31,125.0,16.0,39789.0,2586.0
Snowpiercer,4.1,3.5,123530,678049.0,2013-10-30,126.0,30.0,25026.0,1359.0
Homefront,2.5,3.6,210839,18507155.0,2014-01-08,100.0,11.0,6132.0,536.0
The Secret Life of Walter Mitty,3.2,3.9,206710,45669000.0,2014-01-01,114.0,24.0,18227.0,1295.0
Gravity,4.6,4.0,178496,245503000.0,2013-10-23,90.0,29.0,51093.0,4153.0
The Physician,,3.9,207809,,2016-01-04,155.0,,608.0,67.0
Pain & Gain,3.1,3.3,41005,48532000.0,2013-09-11,129.0,23.0,9542.0,808.0
The Butler,3.2,4.2,188951,110281000.0,2013-09-11,132.0,20.0,21937.0,1231.0
12 Years a Slave,4.2,4.3,196885,53107000.0,2014-01-22,133.0,30.0,30918.0,1642.0
Parker,2.4,3.2,193283,15742000.0,2013-04-17,118.0,12.0,3431.0,345.0
Lone Survivor,2.9,4.2,130593,118402000.0,2014-01-01,122.0,13.0,9155.0,779.0
Captain Phillips,3.5,4.2,191696,97617000.0,2013-11-20,134.0,21.0,11936.0,909.0
All Is Lost,3.9,3.3,200956,1457000.0,2013-12-11,106.0,27.0,4498.0,349.0
Don Jon,2.8,2.6,203316,20141000.0,2013-12-25,90.0,16.0,7206.0,639.0
Rush,4.1,4.3,195370,26487000.0,2013-09-25,123.0,21.0,13288.0,971.0
Pacific Rim,3.4,3.5,191289,98401000.0,2013-07-17,130.0,24.0,26393.0,2049.0
After Earth,2.4,2.2,186905,57382240.0,2013-06-05,100.0,13.0,21406.0,1527.0
47 Ronin,2.6,3.1,141505,20571000.0,2014-04-02,119.0,19.0,5601.0,607.0
Dallas Buyers Club,3.9,4.3,137097,12411000.0,2014-01-29,117.0,29.0,20002.0,927.0
World War Z,2.9,3.5,140631,197473000.0,2013-07-03,116.0,28.0,39680.0,2615.0
Ender's Game,2.5,3.4,45645,53777000.0,2013-11-06,114.0,11.0,6975.0,742.0
Lovelace,2.2,2.8,189851,4719.0,2014-01-08,93.0,18.0,681.0,94.0
The Purge,2.5,2.6,201653,62791000.0,2013-08-07,86.0,18.0,10449.0,1118.0
Man of Steel,3.4,3.6,123348,288681970.0,2013-06-19,143.0,23.0,43472.0,3552.0
Oblivion,2.9,3.6,27405,88473925.0,2013-04-10,126.0,18.0,32431.0,2229.0
Under the Skin,4.0,2.6,187462,151365.0,2014-06-25,108.0,31.0,4785.0,657.0
Hummingbird,2.0,2.5,192763,193527.0,2013-07-10,100.0,2.0,2274.0,267.0
R.I.P.D.,1.8,2.4,184468,30448000.0,2013-07-31,96.0,4.0,4439.0,449.0
American Hustle,3.2,3.4,205330,133600000.0,2014-02-05,138.0,31.0,9316.0,834.0
White House Down,3.0,3.3,205806,70638617.0,2013-09-04,132.0,19.0,7647.0,784.0
Olympus Has Fallen,2.8,3.4,204923,25700000.0,2013-03-20,120.0,8.0,6238.0,724.0
Fast & Furious 6,3.0,3.5,189651,236533170.0,2013-05-22,130.0,4.0,22121.0,1418.0
Phantom,,2.6,210772,,2013-08-20,98.0,,379.0,46.0
The Family,2.3,2.8,207801,31696000.0,2013-10-23,112.0,24.0,7716.0,839.0
Oz: The Great and Powerful,3.5,3.2,180655,234148000.0,2013-03-13,127.0,18.0,9926.0,1195.0
G.I. Joe: Retaliation,2.5,2.4,170252,121578000.0,2013-03-27,110.0,11.0,6995.0,705.0
The Hobbit: The Desolation of Smaug,3.7,4.2,186918,242219000.0,2013-12-11,161.0,23.0,44022.0,2092.0
The Book Thief,2.7,4.0,204237,14936447.0,2014-02-05,131.0,17.0,2244.0,239.0
Oldboy,2.4,2.7,140489,25437.0,2014-01-01,104.0,16.0,1837.0,252.0
Saving Mr. Banks,3.5,4.2,204100,75391000.0,2014-03-05,125.0,23.0,5979.0,552.0
We're the Millers,2.9,3.6,193459,149221000.0,2013-09-18,110.0,15.0,7509.0,627.0
The Green Inferno,3.6,2.7,207698,3520626.0,2015-10-16,100.0,5.0,1260.0,184.0
Safe Haven,,3.8,208306,70327952.0,2013-12-04,115.0,,1277.0,101.0
The Hangover Part III,2.3,2.9,194160,110013772.0,2013-05-29,100.0,9.0,21888.0,1216.0
This Is the End,2.9,3.1,137289,95617810.0,2013-10-09,107.0,21.0,4770.0,417.0
The Host,2.4,3.3,173053,26355000.0,2013-04-17,126.0,15.0,6165.0,757.0
Turbo,3.2,3.5,191356,78774000.0,2013-10-16,96.0,13.0,4108.0,358.0
Monsters University,3.5,3.9,109572,263478000.0,2013-07-10,104.0,26.0,20317.0,823.0
Broken City,2.3,2.8,138189,18135411.0,2013-06-26,109.0,13.0,1938.0,221.0
The Call,2.6,3.6,193235,50100443.0,2013-05-29,95.0,14.0,4330.0,599.0
Evil Dead,3.1,3.3,138417,53200013.0,2013-05-01,90.0,14.0,5586.0,986.0
The Starving Games,,1.7,207465,,2018-05-31,83.0,,253.0,37.0
Oculus,,3.5,226396,21191000.0,2015-03-04,100.0,,1321.0,150.0
Iron Man 3,3.2,3.8,139589,406433000.0,2013-04-24,131.0,19.0,43062.0,2714.0
Out Of The Furnace,2.8,3.5,197047,9574440.0,2014-01-15,117.0,18.0,4502.0,443.0
