adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
False,,,0.0,Science Fiction,,293082.0,tt3530690,en,"10,000 Days","10,000 Days ago, Comet 23 struck Earth with the magnitude of all the nuclear weapons in the world sending the planet into a deep freeze. Now, 27 years in the future, those who survived are locked in an epic battle of life or death.",9.384,/7dgmpcDatHjHndJpSZ9JNW2P0fi.jpg,Bahr Productions Inc.,United States of America,2014-11-23,0.0,91.0,English,Released,,"10,000 Days",False,2.8,15.0,11.0,2014.0,10000days,['Eric Small']
False,/wkhtdTSQKAIoOD7f6zD9BXGsr7f.jpg,,500000.0,"Action, Science Fiction",,182228.0,tt2538128,en,100 Degrees Below Zero,"After freak climate and weather events destroy the world around them, a group of rogue scientists attempt to reverse the deadly new ice age.",8.787,/1keE9oReldd7QmG8epHoY23jQXv.jpg,"The Asylum, Next Station Productions, The Institution",United States of America,2013-03-29,0.0,88.0,English,Released,Cold as Hell,100 Degrees Below Zero,False,4.4,112.0,3.0,2013.0,100degreesbelowzero,['R.D. Braunstein']
False,/5uLqjVQlKNR4MbOeuheaRihPxAx.jpg,,15000000.0,"Thriller, Science Fiction, Drama, Horror",http://www.10cloverfieldlane.com/,333371.0,tt1179933,en,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",41.39,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,Bad Robot,United States of America,2016-03-10,110216998.0,104.0,English,Released,Monsters come in many forms.,10 Cloverfield Lane,False,6.984,7456.0,3.0,2016.0,10cloverfieldlane,['Dan Trachtenberg']
False,/sbqm63cOAG5eB9WsUR1hY1zpkTH.jpg,,0.0,"Crime, Action, Thriller, Mystery",,552865.0,tt8809652,en,10 Minutes Gone,"Crime boss Rex hires Frank and his crew to steal a priceless jewel stash — but the job goes wrong when someone tips off the cops. After Frank suffers a blow to the head, he wakes up to find the jewels gone and no memory of his attacker. Now, Frank must confront his team members one by one to find the traitor — before Rex covers his tracks by having Frank murdered.",17.399,/i8lVYRplWdCEqYOutxpxeCtaD2a.jpg,"MoviePass Films, Potato Eater Productions, EFO Films, Grindstone Entertainment Group",United States of America,2019-09-30,332731.0,96.0,English,Released,Keep your enemies close,10 Minutes Gone,False,5.358,204.0,9.0,2019.0,10minutesgone,['Brian A. Miller']
False,/9QWBstBOwv36cuv0hK4esNyFnvo.jpg,,0.0,Thriller,,505177.0,tt6210996,en,10 x 10,"Lewis is an outwardly ordinary guy, but in reality he is hiding an obsession – revenge – against Cathy. Lewis kidnaps Cathy in broad daylight and takes her to his home, where he locks her in a soundproof cell and attempts to extract a dark secret from her past.",17.202,/egMETBYual2JtfFGigXTA0tGkME.jpg,"Head Gear Films, Unstoppable Entertainment",United Kingdom,2018-04-13,68260.0,86.0,English,Released,There are some secrets we cannot escape,10x10,False,5.2,508.0,4.0,2018.0,10x10,['Suzi Ewing']
False,/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg,,0.0,"Comedy, Drama",,58547.0,tt1715873,en,10 Years,A group of friends reunite ten years after their high-school graduation.,11.599,/1WjXdp4i2NR9RYGN0t0oy3tkGro.jpg,"Anchor Bay Films, Temple Hill Entertainment, Boss Media, 33andOut Productions, Iron Horse Entertainment",United States of America,2012-09-14,203373.0,100.0,English,Released,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?,10 Years,False,5.8,510.0,9.0,2012.0,10years,['Jamie Linden']
False,/5Ok10XXtBYihm6BtzfZg4f55dVJ.jpg,,0.0,"Horror, Thriller",http://1111themovie.com/,51248.0,tt1712159,en,11-11-11,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",9.593,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,"Capacity Pictures, Black Flag, Canonigo Films, Epic Pictures Group",United States of America,2011-11-11,6963872.0,90.0,"English, Español",Released,Mark the date. You can't stop what's coming.,11-11-11,False,4.573,220.0,11.0,2011.0,111111,['Darren Lynn Bousman']
False,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,,18000000.0,"Adventure, Drama, Thriller",,44115.0,tt1542344,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,39.625,/xbszsQv3ifdFZtQu8CzNh4zh0MX.jpg,"Fox Searchlight Pictures, Pathé, Everest Entertainment, HandMade Films, Film4 Productions, Cloud Eight Films, Dune Entertainment","France, United Kingdom, United States of America",2010-11-12,35692920.0,94.0,English,Released,There is no force more powerful than the will to live.,127 Hours,False,7.075,7087.0,11.0,2010.0,127hours,['Danny Boyle']
False,/7fJoKNpWocLAGbXm0gD02zd9Yj0.jpg,,0.0,"History, Drama, Action",http://12mightyorphans.com,625169.0,tt8482584,en,12 Mighty Orphans,"Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",34.656,/aIY2QF211NLB1AOjZPFImusCLI1.jpg,"Greenbelt Films, Santa Rita Film Co., Sony Pictures Classics",United States of America,2021-06-18,3615193.0,118.0,English,Released,Based on the true story of the team that inspired a nation.,12 Mighty Orphans,False,7.229,177.0,6.0,2021.0,12mightyorphans,['Ty Roberts']
False,/xgZMrOPgZcy8FXFOSULoZYM6Ktd.jpg,12 Rounds Collection,0.0,"Action, Thriller, Crime",,351901.0,tt3957956,en,12 Rounds 3: Lockdown,"Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",15.765,/3wAIu7q72mINXVplVnU6pMbZmQQ.jpg,WWE Studios,United States of America,2015-09-11,0.0,90.0,English,Released,Twelve Rounds In the Clip. One Shot at Redemption.,12 Rounds 3: Lockdown,False,5.8,172.0,9.0,2015.0,12rounds3lockdown,['Stephen Reynolds']
False,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,,35000000.0,"War, Drama, Action, History",https://12strongmovie.com,429351.0,tt1413492,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,38.156,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,"Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, Lionsgate, 16:14 Entertainment, Warner Bros. Pictures",United States of America,2018-01-18,67450815.0,130.0,English,Released,The declassified true story of the horse soldiers,12 Strong,False,6.3,2740.0,1.0,2018.0,12strong,['Nicolai Fuglsig']
False,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,,20000000.0,"Drama, History",http://www.foxsearchlight.com/12yearsaslave,76203.0,tt2024544,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",38.99,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions","United States of America, United Kingdom",2013-10-18,187000000.0,134.0,English,Released,The extraordinary true story of Solomon Northup,12 Years a Slave,False,7.945,10711.0,10.0,2013.0,12yearsaslave,['Steve McQueen']
False,,,0.0,,,868848.0,,ja,13,The film is a continuous time-lapse with multiple exposures of the sunset from the same angle and position on 16mm film. The shoot was done in a span of 5 years. The title 13 is because the time-lapse has a 13-second interval per frame.,0.6,,,,2021-12-04,0.0,10.0,,Released,,13,False,10.0,1.0,12.0,2021.0,13,
False,,,0.0,,,773367.0,tt14365328,ja,13,"A small twinkling dot slowly glides across the black screen. It is followed by another, and then a third. We seem at first to be watching an abstract piece of video art, but there is more to the Japanese film 13 than meets the eye.  Filmmaker Shinya Isobe left his camera in exactly the same spot for five years to shoot a picture of the sunset every thirteen seconds. In a series of merged time-lapses, we see the sun moving serenely from left to right. Over and over again. First in a neat line, in total silence. Later patterns appear, supported by a minimalist soundtrack.  No digital trickery was used to create the hypnotic images that pass by. Isobe overlaid analogue shots from different seasons to produce clusters of shining spots. See it as an amalgamation of time, a contemplation of humanity versus the cosmos—it’s up to you to create your own associations. (Source: IDFA 2020)",0.6,/wZ1wXY0cYTkYB8UC0CsWlqT9INY.jpg,,Japan,2020-11-17,0.0,11.0,No Language,Released,,13,False,10.0,1.0,11.0,2020.0,13,['Shinya Isobe']
False,,,0.0,Horror,,648519.0,,id,13,"Kevin and Nayla newly marry and inhabit a new house that is fully automated. In the housing complex also live Julian and Ditta, Kevin’s colleague. Linda, Kevin’s mother, also  live in the new house, because she still wants to set the life of her only child. At the  house there are annoying things: there is always sand. Some items are also moved. Nayla also feels that something is watching, approaching, even touching her. Julian and Ditta are panic because his son, Lila, is often talking and playing with a figure he calls grandpa. Julian took him to a psychiatrist. Test results: Lila has the characteristics of an indigo who can communicate with the spirit world.",1.646,/cHNuETcwzQLNxqqro46CR9MDMl6.jpg,Sentra Films,Indonesia,2014-09-18,0.0,94.0,Bahasa indonesia,Released,,13,False,10.0,1.0,9.0,2014.0,13,['Sridhar Jetty']
False,,,0.0,Drama,,223275.0,tt3111556,da,13,"Emma goes to see her father on her birthday, but only his new boyfriend is at home.",1.549,/A4636tTM78anq2lM9uNKtVpRe1x.jpg,,Denmark,2010-12-03,0.0,11.0,Dansk,Released,,13,False,8.5,2.0,12.0,2010.0,13,['Malou Reymann']
False,/yQMNl71tz59z10wlp0DOL7zUxpU.jpg,,0.0,"Drama, Thriller",,44982.0,tt0798817,en,13,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",19.436,/eJAVjARKe3YBabnbhdbYWXD7Hdg.jpg,"Anchor Bay Films, Overnight Films, Morabito Picture Company, Barbarian Films, Magnet Media Group, Oceana Media Finance, Red Dragon Productions, Cinedigm, Magnet Media Productions, Number 13, Paramount Vantage",United States of America,2010-03-12,3317662.0,91.0,English,Released,Spin. Aim. Survive.,13,False,5.798,738.0,3.0,2010.0,13,['Géla Babluani']
False,/kL43eS5GTD7YiN0deVfbMrNTifB.jpg,,0.0,"Horror, Thriller",,981361.0,tt23019258,ta,13,,2.302,/nWv5ZIy54nN3D3egowA2kLBb2BE.jpg,"Madras Studios, Anshu Prabhakar Films",India,,0.0,0.0,தமிழ்,Released,,13,False,10.0,1.0,,,13,['K. Vivek']
