Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,mois_sortie,annee_sortie,titre_normalise,nom_du_realisateur
Dumplin',,3.1,239584,,2021-09-25,110.0,,515.0,27.0,9.0,2021.0,dumplin,"De
Anne Fletcher"
Mark Felt: The Man Who Brought Down The White House,3.1,2.9,242448,17473.0,2017-11-01,103.0,15.0,621.0,48.0,11.0,2017.0,markfeltthemanwhobroughtdownthewhitehouse,"De
Peter Landesman"
Armed Response,,1.4,236559,,2016-02-01,97.0,,75.0,11.0,2.0,2016.0,armedresponse,"De
John Stockwell"
Rough Night,1.6,1.8,243742,16638208.0,2017-08-02,101.0,12.0,1280.0,93.0,8.0,2017.0,roughnight,"De
Lucia Aniello"
Goodbye Christopher Robin,,3.7,246713,,2018-05-09,107.0,,241.0,13.0,5.0,2018.0,goodbyechristopherrobin,"De
Simon Curtis"
Sea Change,,2.9,264438,,2019-10-16,90.0,,66.0,26.0,10.0,2019.0,seachange,"De
Chris Grismer"
The Book Of Henry,,3.8,236632,,2017-10-23,105.0,,583.0,47.0,10.0,2017.0,thebookofhenry,"De
Colin Trevorrow"
The Wife,,3.6,251830,,2019-01-24,101.0,,118.0,13.0,1.0,2019.0,thewife,"De
Björn Runge"
2:22,,2.5,193420,,2018-03-07,99.0,,380.0,37.0,3.0,2018.0,222,"De
Paul Currie"
Vengeance: A Love Story,,2.2,144223,,2017-04-12,99.0,,271.0,35.0,4.0,2017.0,vengeancealovestory,"De
Johnny Martin"
Brawl in Cell Block 99,,3.5,247431,,2018-09-25,132.0,,530.0,59.0,9.0,2018.0,brawlincellblock99,"De
S. Craig Zahler"
The Meyerowitz Stories (New and Selected),3.3,2.8,245697,,2020-04-28,113.0,6.0,487.0,31.0,4.0,2020.0,themeyerowitzstoriesnewandselected,"De
Noah Baumbach"
Saint Judy,,3.2,256114,,2020-02-06,106.0,,77.0,5.0,2.0,2020.0,saintjudy,"De
Sean Hanish"
S.W.A.T.: Under Siege,,1.9,257409,,2017-07-30,93.0,,167.0,19.0,7.0,2017.0,swatundersiege,"De
Tony Giglio"
Bushwick,,2.0,235975,,2021-09-15,98.0,,480.0,65.0,9.0,2021.0,bushwick,"De
Cary Murnion,
Jonathan Milott"
Lucky,3.9,4.0,248853,51045.0,2017-12-13,88.0,22.0,707.0,78.0,12.0,2017.0,lucky,"De
John Carroll Lynch"
I Kill Giants,,2.6,236448,,2018-06-06,106.0,,558.0,58.0,6.0,2018.0,ikillgiants,"De
Anders Walter"
The Space Between Us,,3.5,230726,3775596.0,2017-06-05,121.0,,660.0,51.0,6.0,2017.0,thespacebetweenus,"De
Peter Chelsom"
Shimmer Lake,,2.6,243154,,2019-03-21,83.0,,197.0,25.0,3.0,2019.0,shimmerlake,"De
Oren Uziel"
Devil's Gate,,1.7,255321,,2018-11-08,94.0,,205.0,32.0,11.0,2018.0,devilsgate,"De
Clay Staub"
Professor Marston & The Wonder Women,2.6,3.6,250843,1210.0,2018-04-18,108.0,19.0,532.0,39.0,4.0,2018.0,professormarstonthewonderwomen,"De
Angela Robinson"
Kodachrome,,3.5,248974,,2021-09-23,100.0,,327.0,22.0,9.0,2021.0,kodachrome,"De
Mark Raso"
Downrange,,2.4,257889,,2018-07-24,90.0,,397.0,63.0,7.0,2018.0,downrange,"De
Ryûhei Kitamura"
The Little Hours,,2.8,247093,,2017-11-08,90.0,,104.0,16.0,11.0,2017.0,thelittlehours,"De
Jeff Baena"
Leatherface,,1.9,230657,,2018-01-01,85.0,,663.0,92.0,1.0,2018.0,leatherface,"De
Julien Maury,
Alexandre Bustillo"
Mom and Dad,,1.7,245064,,2021-09-23,86.0,,584.0,88.0,9.0,2021.0,momanddad,"De
Brian Taylor"
CHiPS,,2.4,109463,14367366.0,2017-07-20,100.0,,506.0,31.0,7.0,2017.0,chips,"De
Dax Shepard"
Beyond Skyline,,1.9,229158,,2018-02-27,109.0,,474.0,54.0,2.0,2018.0,beyondskyline,"De
Liam O'Donnell"
All I Wish,,2.1,250932,,2019-01-31,94.0,,59.0,6.0,1.0,2019.0,alliwish,"De
Susan Walter (II)"
Daddy's Home 2,,2.7,246976,96592806.0,2018-04-03,100.0,,600.0,19.0,4.0,2018.0,daddyshome2,"De
Sean Anders"
November Criminals,,2.2,224657,,2018-01-07,90.0,,292.0,22.0,1.0,2018.0,novembercriminals,"De
Sacha Gervasi"
Slumber,,1.8,259442,,2018-04-03,85.0,,170.0,23.0,4.0,2018.0,slumber,"De
Jonathan Hopkins"
Cult of Chucky,,1.8,229970,,2017-09-22,91.0,,718.0,88.0,9.0,2017.0,cultofchucky,"De
Don Mancini"
The Hunter's Prayer,,2.1,218230,,2017-11-13,91.0,,364.0,43.0,11.0,2017.0,thehuntersprayer,"De
Jonathan Mostow"
Una mujer fantástica,3.6,3.7,245149,81048.0,2017-07-12,104.0,20.0,810.0,84.0,7.0,2017.0,unamujerfantástica,"De
Sebastián Lelio"
A Bad Moms Christmas,2.7,2.3,251257,64737307.0,2017-11-29,104.0,7.0,1018.0,52.0,11.0,2017.0,abadmomschristmas,"De
Scott Moore,
Jon Lucas"
Acts of Vengeance,,2.5,259322,,2018-02-23,86.0,,274.0,36.0,2.0,2018.0,actsofvengeance,"De
Isaac Florentine"
Thoroughbreds,,2.9,247127,306.0,2018-06-27,93.0,,354.0,30.0,6.0,2018.0,thoroughbreds,"De
Cory Finley"
Marshall,,3.9,243766,,2018-03-14,118.0,,329.0,20.0,3.0,2018.0,marshall,"De
Reginald Hudlin"
Bullet Head,,2.1,251242,,2018-06-05,93.0,,314.0,42.0,6.0,2018.0,bullethead,"De
Paul Solet"
The Big Sick,,3.6,243948,24539378.0,2017-12-05,120.0,,333.0,18.0,12.0,2017.0,thebigsick,"De
Michael Showalter"
Descendants 2,,3.4,241853,,2017-10-18,111.0,,416.0,19.0,10.0,2017.0,descendants2,"De
Kenny Ortega"
The Forgiven,2.4,3.4,203666,20666.0,2019-01-09,120.0,17.0,318.0,56.0,1.0,2019.0,theforgiven,"De
Roland Joffé"
10x10,,2.0,251534,,2018-11-29,87.0,,447.0,54.0,11.0,2018.0,10x10,"De
Suzi Ewing"
The Recall,,1.3,249077,,2018-08-22,90.0,,215.0,29.0,8.0,2018.0,therecall,"De
Mauro Borrelli"
Oh Lucy!,2.8,3.5,228405,33311.0,2018-01-31,95.0,21.0,325.0,36.0,1.0,2018.0,ohlucy,"De
Atsuko Hirayanagi"
Kill Switch,,1.7,255948,,2017-10-26,95.0,,159.0,29.0,10.0,2017.0,killswitch,"De
Tim Smit"
Wheelman,,3.1,247442,,2020-12-10,82.0,,347.0,38.0,12.0,2020.0,wheelman,"De
Jeremy Rush"
Sleepless,2.1,2.7,235259,14940116.0,2017-08-09,95.0,7.0,1420.0,116.0,8.0,2017.0,sleepless,"De
Baran bo Odar"
Pitch Perfect 3,2.1,3.2,236998,94993625.0,2017-12-27,96.0,7.0,1586.0,76.0,12.0,2017.0,pitchperfect3,"De
Trish Sie"
Summer of '84,,3.2,257534,,2018-12-13,105.0,,592.0,75.0,12.0,2018.0,summerof84,"De
François Simard,
Anouk Whissell,
Yoann-Karl Whissell"
Kickboxer: Retaliation,,1.7,243187,,2018-04-03,110.0,,178.0,23.0,4.0,2018.0,kickboxerretaliation,"De
Dimitri Logothetis"
The Vault,,1.7,196618,,2018-01-03,92.0,,247.0,31.0,1.0,2018.0,thevault,"De
Dan Bush"
You Get Me,,2.2,246790,,2022-10-24,89.0,,457.0,23.0,10.0,2022.0,yougetme,"De
Brent Bonacorso"
Chappaquiddick,,2.8,243715,11040943.0,2019-01-23,107.0,,137.0,13.0,1.0,2019.0,chappaquiddick,"De
John Curran"
Beirut,2.9,3.0,239593,89600.0,2018-05-30,109.0,20.0,740.0,96.0,5.0,2018.0,beirut,"De
Brad Anderson"
Newness,,3.2,253131,,2022-10-24,112.0,,344.0,26.0,10.0,2022.0,newness,"De
Drake Doremus"
The Ballad of Lefty Brown,,3.0,250136,,2018-03-14,111.0,,138.0,20.0,3.0,2018.0,theballadofleftybrown,"De
Jared Moshé"
Creep 2,,1.9,258606,,2020-04-28,80.0,,224.0,28.0,4.0,2020.0,creep2,"De
Patrick Brice"
Home Again,,2.6,247447,25152128.0,2018-06-21,98.0,,348.0,15.0,6.0,2018.0,homeagain,"De
Hallie Meyers-Shyer"
Girls Trip,,3.0,227413,111565295.0,2017-12-13,122.0,,659.0,69.0,12.0,2017.0,girlstrip,"De
Malcolm D. Lee"
Acts Of Violence,,2.0,255007,,2018-04-24,92.0,,322.0,31.0,4.0,2018.0,actsofviolence,"De
Brett Donowho"
Kings,3.0,2.8,247864,75815.0,2018-04-11,87.0,26.0,822.0,77.0,4.0,2018.0,kings,"De
Deniz Gamze Ergüven"
Accident Man,,2.8,251757,,2018-02-11,105.0,,154.0,22.0,2.0,2018.0,accidentman,"De
Jesse V. Johnson"
Jeepers Creepers 3,,1.5,132427,,2011-01-13,100.0,,162.0,17.0,1.0,2011.0,jeeperscreepers3,"De
Victor Salva"
Clinical,,2.1,244505,,2020-04-10,104.0,,184.0,21.0,4.0,2020.0,clinical,"De
Alistair Legrand"
Hangman,,2.1,251474,,2018-09-04,98.0,,464.0,55.0,9.0,2018.0,hangman,"De
Johnny Martin"
Tulip Fever,,3.1,223050,,2018-01-17,107.0,,341.0,20.0,1.0,2018.0,tulipfever,"De
Justin Chadwick"
The Immortal Life of Henrietta Lacks,,3.2,247248,,2017-08-21,93.0,,56.0,8.0,8.0,2017.0,theimmortallifeofhenriettalacks,"De
George C. Wolfe"
Captain Underpants: The First Epic Movie,2.6,1.7,224944,65747291.0,2017-10-04,89.0,16.0,602.0,68.0,10.0,2017.0,captainunderpantsthefirstepicmovie,"De
David Soren"
Voice From the Stone,,1.8,194161,,2017-07-26,91.0,,298.0,38.0,7.0,2017.0,voicefromthestone,"De
Eric D. Howell"
Beach Rats,,2.9,252135,,2018-01-25,98.0,,348.0,25.0,1.0,2018.0,beachrats,"De
Eliza Hittman"
Blind,,2.4,242106,,2017-12-15,106.0,,78.0,7.0,12.0,2017.0,blind,"De
Michael Mailer"
24 Hours To Live,1.5,2.1,244941,131528.0,2018-01-17,97.0,4.0,960.0,110.0,1.0,2018.0,24hourstolive,"De
Brian Smrz"
Stephanie,,2.3,235124,,2018-07-04,84.0,,211.0,27.0,7.0,2018.0,stephanie,"De
Akiva Goldsman"
Gremlin,,1.3,253138,,2017-10-17,90.0,,153.0,26.0,10.0,2017.0,gremlin,"De
Ryan Bellgardt"
Circus Kane,,1.5,251148,,2018-02-22,,,87.0,17.0,2.0,2018.0,circuskane,"De
Christopher Ray"
The Monster Project,,1.3,257950,,2018-08-22,95.0,,108.0,19.0,8.0,2018.0,themonsterproject,
My Little Pony: The Movie,2.7,2.8,232441,15625311.0,2017-10-18,99.0,7.0,194.0,40.0,10.0,2017.0,mylittleponythemovie,"De
Jayson Thiessen"
The Bye Bye Man,,2.1,243061,19990285.0,2017-06-21,97.0,,258.0,32.0,6.0,2017.0,thebyebyeman,"De
Stacy Title"
Money,2.8,2.9,136374,25759.0,2017-09-27,90.0,18.0,277.0,48.0,9.0,2017.0,money,"De
Gela Babluani"
The Only Living Boy In New York,,2.5,197690,,2018-02-12,88.0,,176.0,18.0,2.0,2018.0,theonlylivingboyinnewyork,"De
Marc Webb"
Zama,3.8,3.2,221314,10452.0,2018-07-11,115.0,17.0,104.0,21.0,7.0,2018.0,zama,"De
Lucrecia Martel"
Brigsby Bear,,3.7,252136,,2018-01-14,97.0,,119.0,13.0,1.0,2018.0,brigsbybear,"De
Dave McCary"
Outside In,,3.0,258270,,2022-10-24,109.0,,55.0,11.0,10.0,2022.0,outsidein,"De
Lynn Shelton"
Unicorn Store,,2.7,249375,,2019-04-05,92.0,,449.0,38.0,4.0,2019.0,unicornstore,"De
Brie Larson"
On Chesil Beach,3.2,2.8,182822,22627.0,2018-08-15,110.0,17.0,275.0,24.0,8.0,2018.0,onchesilbeach,"De
Dominic Cooke"
I Still See You,,2.9,212312,,2019-04-12,99.0,,203.0,26.0,4.0,2019.0,istillseeyou,"De
Scott Speer"
Tangled: Before Ever After,,3.2,253302,,2017-11-22,54.0,,55.0,7.0,11.0,2017.0,tangledbeforeeverafter,"De
Stephen Sandoval,
Tom Caulfield"
Small Crimes,,2.3,254458,,2019-03-21,95.0,,133.0,12.0,3.0,2019.0,smallcrimes,"De
E.L. Katz"
Snatched,,1.9,238079,43846996.0,2017-09-06,91.0,,158.0,12.0,9.0,2017.0,snatched,"De
Jonathan Levine"
Rememory,,2.5,248343,,2020-09-03,111.0,,173.0,21.0,9.0,2020.0,rememory,"De
Mark Palansky"
Backstabbing For Beginners,,3.2,242172,,2018-09-10,108.0,,111.0,8.0,9.0,2018.0,backstabbingforbeginners,"De
Per Fly"
Bad Match,,2.3,249188,,2018-07-23,90.0,,260.0,32.0,7.0,2018.0,badmatch,"De
David Chirchirillo"
Singularity,,1.7,259468,,2023-04-01,92.0,,83.0,19.0,4.0,2023.0,singularity,
Same Kind Of Different As Me,,3.5,173725,,2018-04-03,119.0,,122.0,7.0,4.0,2018.0,samekindofdifferentasme,"De
Michael Carney"
Thank You For Your Service,,3.7,221989,7302585.0,2018-03-21,108.0,,42.0,6.0,3.0,2018.0,thankyouforyourservice,"De
Jason Dean Hall"
Come Sunday,,2.3,252451,,2020-04-28,106.0,,70.0,8.0,4.0,2020.0,comesunday,"De
Joshua Marston"
Ingrid Goes West,,2.4,249259,,2018-03-21,102.0,,266.0,23.0,3.0,2018.0,ingridgoeswest,"De
Matt Spicer"
The Humanity Bureau,,1.7,252140,,2017-12-21,95.0,,143.0,16.0,12.0,2017.0,thehumanitybureau,"De
Rob W. King"
Brad's Status,,2.4,248876,,2018-03-29,101.0,,139.0,9.0,3.0,2018.0,bradsstatus,"De
Mike White"
Rebel In The Rye,,2.5,240649,,2018-06-13,106.0,,69.0,8.0,6.0,2018.0,rebelintherye,"De
Danny Strong"
On Wings Of Eagles,,2.5,238920,,2018-06-21,96.0,,48.0,7.0,6.0,2018.0,onwingsofeagles,"De
Stephen Shin,
Michael Parker"
Once Upon A Time In Venice,,2.0,238660,,2017-06-28,98.0,,322.0,35.0,6.0,2017.0,onceuponatimeinvenice,"De
Mark Cullen"
The Show,,2.6,254341,,2017-12-01,104.0,,153.0,24.0,12.0,2017.0,theshow,"De
Giancarlo Esposito"
Victor Crowley,,1.7,223682,,2018-06-20,82.0,,76.0,20.0,6.0,2018.0,victorcrowley,"De
Adam Green (VI)"
Tour de Pharmacy,,3.6,248954,,2020-07-09,39.0,,84.0,7.0,7.0,2020.0,tourdepharmacy,"De
Jake Szymanski"
Ghost House,,1.8,254212,,2019-03-05,89.0,,153.0,22.0,3.0,2019.0,ghosthouse,"De
Rich Ragsdale"
First Kill,,2.1,248947,,2018-09-04,97.0,,482.0,38.0,9.0,2018.0,firstkill,"De
Steven C. Miller"
Tom Of Finland,3.2,3.7,252512,23434.0,2017-07-19,116.0,17.0,309.0,31.0,7.0,2017.0,tomoffinland,"De
Dome Karukoski"
Army Of One,,2.0,88897,,2017-07-01,93.0,,121.0,15.0,7.0,2017.0,armyofone,"De
Larry Charles"
Dragonheart: Battle for the Heartfire,,2.9,255039,,2017-07-25,98.0,,69.0,8.0,7.0,2017.0,dragonheartbattlefortheheartfire,"De
Patrik Syversen"
