Titre original,Note presse,Note spectateur,id allocine,Réalisateur,date,duree_minutes,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,Nombre_de_critiques_presse,mois_sortie_x,annee_sortie_x,titre_normalise,nom_du_realisateur_bis,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie_y,annee_sortie_y,nom_du_realisateur
Visions,,2.3,225217,Kevin Greutert,2015-11-20,83.0,267.0,35.0,,11.0,2015.0,visions,kevingreutert,False,/k4vcc4Cwqg7SJcaCAthReHZuopN.jpg,,0.0,"Horror, Mystery",,353686.0,tt2954474,en,Visions,"After moving to a vineyard with her family, a pregnant woman experiences horrifying visions.",10.117,/3J7jwx3Cre1neDIs7YyAXy4ICc4.jpg,"Chapter One Films, Blumhouse Productions",United States of America,2015-08-28,0.0,80.0,"Español, English",Released,Blood will stain the land.,Visions,False,5.37,409.0,8.0,2015.0,Kevin Greutert
Vivarium,3.6,2.6,256558,Lorcan Finnegan,2020-03-11,98.0,2585.0,322.0,32.0,3.0,2020.0,vivarium,lorcanfinnegan,False,/zLa8fA7boGtNoNH7n6iYi9UqoaH.jpg,,3947600.0,"Science Fiction, Thriller, Mystery, Horror",https://www.vertigoreleasing.com/portfolio/vivarium/,458305.0,tt8368406,en,Vivarium,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",31.972,/myf3qzpeN0JbuFRPwSpJcz7rmAT.jpg,"Fantastic Films, Frakas Productions, Lovely Productions, XYZ Films, PingPongFilm, Saban Films","Belgium, Denmark, Ireland",2019-09-07,487625.0,97.0,English,Released,You're home. Forever.,Vivarium,False,6.066,1857.0,9.0,2019.0,Lorcan Finnegan
Voice From the Stone,,1.8,194161,Eric D. Howell,2017-07-26,91.0,298.0,38.0,,7.0,2017.0,voicefromthestone,ericdhowell,False,/lAj5vB0r5pu9SqB1Eu0XJQ7fnhT.jpg,,0.0,"Mystery, Thriller, Drama, Romance",http://voicefromthestone.com/,301372.0,tt1544608,en,Voice from the Stone,Verena is a nurse who arrives at an old mansion in Italy to help a young boy who has fallen silent since the sudden passing of his mother.,14.354,/6pJseCfsd90nA26Jz1HTSuyRzGz.jpg,"Zanuck Independent, Producer Capital Fund, Code 39 Films","United States of America, Italy",2017-04-28,0.0,91.0,"English, Italiano",Released,Silence is calling,Voice from the Stone,False,5.593,444.0,4.0,2017.0,Eric D. Howell
Vox Lux,,2.2,250416,Brady Corbet,2019-10-02,110.0,251.0,22.0,,10.0,2019.0,voxlux,bradycorbet,False,/wFfQTKXF8brhAwmlekuTBxCfyrr.jpg,,7000000.0,"Drama, Music",https://www.voxluxmovie.com/,429202.0,tt5960374,en,Vox Lux,"In 1999, teenage sisters Celeste and Eleanor survive a seismic, violent tragedy. The sisters compose and perform a song about their experience, making something lovely and cathartic out of a catastrophe - while also catapulting Celeste to stardom. By 2017, Celeste is a mother to a teenage daughter of her own and is struggling to navigate a career fraught with scandals when another act of terrifying violence demands her attention.",12.145,/xmFOjB5bGvFqNzsX5TbIWzdvpGd.jpg,"Sierra/Affinity, Bold Films, Andrew Lauren Productions, Killer Films, Three Six Zero",United States of America,2018-09-07,1300000.0,114.0,English,Released,A twenty-first century portrait.,Vox Lux,False,5.857,445.0,9.0,2018.0,Brady Corbet
Waiting for Forever,,3.3,139384,James Keach,,94.0,104.0,8.0,,,,waitingforforever,jameskeach,False,/bIYdARPeH7VkZTfqkdjrmenKCGZ.jpg,,0.0,"Drama, Romance",,52338.0,tt1296898,en,Waiting for Forever,"A Hollywood-set romantic tale of a guy who is content to live his life without a job yet with the love of his life, a young actress.",7.123,/2NQpYb0AnMD0PY9UY90u9ifAFsL.jpg,"PCH Film, Catfish Productions, Weekend Films/Main Street Productions",United States of America,2010-02-10,0.0,94.0,English,Released,This one grabs your heart!,Waiting for Forever,False,5.9,262.0,2.0,2010.0,James Keach
Wakefield,,2.9,242727,Robin Swicord,2017-09-05,106.0,106.0,18.0,,9.0,2017.0,wakefield,robinswicord,False,/kxxbMVSyhOkrSkZ5vrt5JITMIqG.jpg,,0.0,Drama,http://www.ifcfilms.com/films/wakefield,369894.0,tt5195412,en,Wakefield,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,10.862,/1SOw7s1g429ZnbJyKxGIXalSywR.jpg,"Mockingbird Pictures, Dominion Pictures",United States of America,2017-05-19,798214.0,106.0,English,Released,What would your life be without you?,Wakefield,False,6.1,378.0,5.0,2017.0,Robin Swicord
Walk Of Shame,2.3,2.4,216738,Steven Brill,2014-05-21,95.0,1374.0,133.0,6.0,5.0,2014.0,walkofshame,stevenbrill,False,/47Es5IaUe3DziOcFJUTNabAUDQS.jpg,,6000000.0,Comedy,,187596.0,tt2463288,en,Walk of Shame,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",16.65,/3zMS66gtw8ccvy1BWD6thJ67jgX.jpg,"Lakeshore Entertainment, Sidney Kimmel Entertainment, FilmDistrict",United States of America,2014-05-02,8100000.0,95.0,English,Released,Awesome night. Epic aftermath.,Walk of Shame,False,5.952,1353.0,5.0,2014.0,Steven Brill
Walk. Ride. Rodeo.,,3.3,266750,Conor Allyn,2020-04-28,100.0,73.0,9.0,,4.0,2020.0,walkriderodeo,conorallyn,False,/i6auhKuoS5UwCQBp4LsESjFJq4I.jpg,,0.0,Drama,,581420.0,tt5848416,en,Walk. Ride. Rodeo.,"Tells the incredible true story of Amberley Snyder, a nationally ranked rodeo barrel racer who defies the odds after barely surviving a car accident that leaves her paralyzed from the waist down.",14.047,/eUQyvpTtirjQRYi4gVRsVrDvf6T.jpg,Poker Productions,United States of America,2019-03-08,0.0,100.0,English,Released,,Walk. Ride. Rodeo.,False,7.055,219.0,3.0,2019.0,Conor Allyn
Wall Street: Money Never Sleeps,2.3,2.6,128600,Oliver Stone,2010-09-29,131.0,3644.0,496.0,24.0,9.0,2010.0,wallstreetmoneyneversleeps,oliverstone,False,/dgfgoHamsfCTW7UgxI7cfnJLNEo.jpg,Wall Street Collection,70000000.0,"Drama, Crime",http://www.wallstreetmoneyneversleeps.com/,33909.0,tt1027718,en,Wall Street: Money Never Sleeps,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",18.226,/i9DFTWbD6mpM6UT3HlzZwlA92l4.jpg,"Pressman Film, Dune Entertainment III, Dune Entertainment, 20th Century Fox",United States of America,2010-09-20,134748021.0,133.0,English,Released,Gordon never gives up.,Wall Street: Money Never Sleeps,False,6.086,1417.0,9.0,2010.0,Oliver Stone
Wanderlust,2.0,1.9,192221,David Wain,2012-05-30,99.0,805.0,88.0,10.0,5.0,2012.0,wanderlust,davidwain,False,/t4ykoxb5Ofmvbnnbv2u2r7HkjCS.jpg,,35000000.0,"Comedy, Romance",,50647.0,tt1655460,en,Wanderlust,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",19.377,/hH1Bla0W4YIn9sdd9NwODzDCcE4.jpg,"Relativity Media, A Hot Dog, Apatow Productions",United States of America,2012-02-23,24159934.0,98.0,English,Released,Leave your baggage behind,Wanderlust,False,5.519,1182.0,2.0,2012.0,David Wain
