Titre original,Note presse,Note spectateur,id allocine,Réalisateur,date,duree_minutes,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs,Nombre_de_critiques_presse,mois_sortie_x,annee_sortie_x,titre_normalise,nom_du_realisateur_bis,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,mois_sortie_y,annee_sortie_y,nom_du_realisateur
10 000 days,,1.5,239331,Eric Small,,91.0,32.0,7.0,,,,10000days,ericsmall,False,,,0.0,Science Fiction,,293082.0,tt3530690,en,"10,000 Days","10,000 Days ago, Comet 23 struck Earth with the magnitude of all the nuclear weapons in the world sending the planet into a deep freeze. Now, 27 years in the future, those who survived are locked in an epic battle of life or death.",14.611,/7dgmpcDatHjHndJpSZ9JNW2P0fi.jpg,Bahr Productions Inc.,United States of America,2014-11-23,0.0,91.0,English,Released,,"10,000 Days",False,2.8,15.0,11.0,2014.0,Eric Small
100 Degrees Below Zero,,1.2,221267,R.D. Braunstein,2015-04-21,89.0,110.0,51.0,,4.0,2015.0,100degreesbelowzero,rdbraunstein,False,/wkhtdTSQKAIoOD7f6zD9BXGsr7f.jpg,,500000.0,"Action, Science Fiction",,182228.0,tt2538128,en,100 Degrees Below Zero,"After freak climate and weather events destroy the world around them, a group of rogue scientists attempt to reverse the deadly new ice age.",9.323,/1keE9oReldd7QmG8epHoY23jQXv.jpg,"The Asylum, Next Station Productions, The Institution",United States of America,2013-03-29,0.0,88.0,English,Released,Cold as Hell,100 Degrees Below Zero,False,4.438,113.0,3.0,2013.0,R.D. Braunstein
10 Cloverfield Lane,3.6,3.6,231144,Dan Trachtenberg,2016-03-16,103.0,9408.0,735.0,20.0,3.0,2016.0,10cloverfieldlane,dantrachtenberg,False,/5uLqjVQlKNR4MbOeuheaRihPxAx.jpg,,15000000.0,"Thriller, Science Fiction, Drama, Horror",http://www.10cloverfieldlane.com/,333371.0,tt1179933,en,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",31.631,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,Bad Robot,United States of America,2016-03-10,110216998.0,104.0,English,Released,Monsters come in many forms.,10 Cloverfield Lane,False,6.984,7466.0,3.0,2016.0,Dan Trachtenberg
10 Minutes Gone,,1.5,266802,Brian A. Miller,2020-01-10,96.0,170.0,23.0,,1.0,2020.0,10minutesgone,brianamiller,False,/sbqm63cOAG5eB9WsUR1hY1zpkTH.jpg,,0.0,"Crime, Action, Thriller, Mystery",,552865.0,tt8809652,en,10 Minutes Gone,"Crime boss Rex hires Frank and his crew to steal a priceless jewel stash — but the job goes wrong when someone tips off the cops. After Frank suffers a blow to the head, he wakes up to find the jewels gone and no memory of his attacker. Now, Frank must confront his team members one by one to find the traitor — before Rex covers his tracks by having Frank murdered.",31.173,/i8lVYRplWdCEqYOutxpxeCtaD2a.jpg,"MoviePass Films, Potato Eater Productions, EFO Films, Grindstone Entertainment Group",United States of America,2019-09-30,332731.0,96.0,English,Released,Keep your enemies close,10 Minutes Gone,False,5.358,204.0,9.0,2019.0,Brian A. Miller
10x10,,2.0,251534,Suzi Ewing,2018-11-29,87.0,447.0,54.0,,11.0,2018.0,10x10,suziewing,False,/9QWBstBOwv36cuv0hK4esNyFnvo.jpg,,0.0,Thriller,,505177.0,tt6210996,en,10 x 10,"Lewis is an outwardly ordinary guy, but in reality he is hiding an obsession – revenge – against Cathy. Lewis kidnaps Cathy in broad daylight and takes her to his home, where he locks her in a soundproof cell and attempts to extract a dark secret from her past.",20.44,/egMETBYual2JtfFGigXTA0tGkME.jpg,"Head Gear Films, Unstoppable Entertainment",United Kingdom,2018-04-13,68260.0,86.0,English,Released,There are some secrets we cannot escape,10x10,False,5.243,510.0,4.0,2018.0,Suzi Ewing
10 Years,,2.3,189144,Jamie Linden,2017-06-02,97.0,306.0,12.0,,6.0,2017.0,10years,jamielinden,False,/m3i3asfpbMyIW7tGOfq9w7T0Q7F.jpg,,0.0,"Comedy, Drama",,58547.0,tt1715873,en,10 Years,A group of friends reunite ten years after their high-school graduation.,7.969,/1WjXdp4i2NR9RYGN0t0oy3tkGro.jpg,"Anchor Bay Films, Temple Hill Entertainment, Boss Media, 33andOut Productions, Iron Horse Entertainment",United States of America,2012-09-14,203373.0,100.0,English,Released,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?,10 Years,False,5.8,510.0,9.0,2012.0,Jamie Linden
11-11-11,,1.4,184901,Darren Lynn Bousman,2012-10-24,90.0,191.0,50.0,,10.0,2012.0,111111,darrenlynnbousman,False,/5Ok10XXtBYihm6BtzfZg4f55dVJ.jpg,,0.0,"Horror, Thriller",http://1111themovie.com/,51248.0,tt1712159,en,11-11-11,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",6.772,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,"Capacity Pictures, Black Flag, Canonigo Films, Epic Pictures Group",United States of America,2011-11-11,6963872.0,90.0,"English, Español",Released,Mark the date. You can't stop what's coming.,11-11-11,False,4.573,220.0,11.0,2011.0,Darren Lynn Bousman
127 Hours,3.2,3.9,174939,Danny Boyle,2011-02-23,94.0,24194.0,1574.0,28.0,2.0,2011.0,127hours,dannyboyle,False,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,,18000000.0,"Adventure, Drama, Thriller",,44115.0,tt1542344,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,30.398,/xbszsQv3ifdFZtQu8CzNh4zh0MX.jpg,"Fox Searchlight Pictures, Pathé, Everest Entertainment, HandMade Films, Film4 Productions, Cloud Eight Films, Dune Entertainment","France, United Kingdom, United States of America",2010-11-12,35692920.0,94.0,English,Released,There is no force more powerful than the will to live.,127 Hours,False,7.076,7098.0,11.0,2010.0,Danny Boyle
12 Rounds 3: Lockdown,,2.1,230968,Stephen Reynolds,2017-08-18,90.0,29.0,5.0,,8.0,2017.0,12rounds3lockdown,stephenreynolds,False,/xgZMrOPgZcy8FXFOSULoZYM6Ktd.jpg,12 Rounds Collection,0.0,"Action, Thriller, Crime",,351901.0,tt3957956,en,12 Rounds 3: Lockdown,"Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",13.613,/3wAIu7q72mINXVplVnU6pMbZmQQ.jpg,WWE Studios,United States of America,2015-09-11,0.0,90.0,English,Released,Twelve Rounds In the Clip. One Shot at Redemption.,12 Rounds 3: Lockdown,False,5.8,172.0,9.0,2015.0,Stephen Reynolds
12 Strong,3.0,3.6,181056,Nicolai Fuglsig,2018-01-31,131.0,1700.0,118.0,4.0,1.0,2018.0,12strong,nicolaifuglsig,False,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,,35000000.0,"War, Drama, Action, History",https://12strongmovie.com,429351.0,tt1413492,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,47.36,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,"Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, Lionsgate, 16:14 Entertainment, Warner Bros. Pictures",United States of America,2018-01-18,67450815.0,130.0,English,Released,The declassified true story of the horse soldiers,12 Strong,False,6.284,2754.0,1.0,2018.0,Nicolai Fuglsig
13,,2.3,139163,Gela Babluani,2013-07-31,91.0,729.0,106.0,,7.0,2013.0,13,gelababluani,False,/hkUXAhF2oYDGiWeEVpCVQA8cE2W.jpg,,0.0,"Drama, Thriller",,44982.0,tt0798817,en,13,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",12.264,/eJAVjARKe3YBabnbhdbYWXD7Hdg.jpg,"Anchor Bay Films, Overnight Films, Morabito Picture Company, Barbarian Films, Magnet Media Group, Oceana Media Finance, Red Dragon Productions, Cinedigm, Magnet Media Productions, Number 13, Paramount Vantage",United States of America,2010-03-12,3317662.0,91.0,English,Released,Spin. Aim. Survive.,13,False,5.803,740.0,3.0,2010.0,Géla Babluani
13 Hours : The Secret Soldiers of Benghazi,3.0,3.8,232707,Michael Bay,2016-03-30,144.0,3681.0,257.0,20.0,3.0,2016.0,13hoursthesecretsoldiersofbenghazi,michaelbay,False,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,,50000000.0,"War, Action, History, Drama",http://www.thirteenhoursmovie.com/,300671.0,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,56.342,/nAnfWdvUXQemns5BR0Azi4z9o1t.jpg,"Paramount, 3 Arts Entertainment, Bay Films, Latina Pictures, Dune Films","Malta, Morocco, United States of America",2016-01-14,69411370.0,144.0,"العربية, English",Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,False,7.276,3290.0,1.0,2016.0,Michael Bay
13 Sins,,3.1,211764,Daniel Stamm,2014-09-26,93.0,735.0,86.0,,9.0,2014.0,13sins,danielstamm,False,/67WVW36tcLYnY2ONzbxh7gEfohh.jpg,,5000000.0,"Horror, Thriller",,155084.0,tt2059171,en,13 Sins,"Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.",22.475,/x4tC1s6oFG9nEyxVSM0FiIsLea1.jpg,"Dimension Films, IM Global, Automatik Entertainment, Little Magic Films, Sahamongkol Film International, Blumhouse Productions",United States of America,2014-04-11,13809.0,93.0,English,Released,You don't play the game. It plays you.,13 Sins,False,6.276,1016.0,4.0,2014.0,Daniel Stamm
16 Wishes,,2.7,183226,Peter DeLuise,2019-04-01,85.0,270.0,24.0,,4.0,2019.0,16wishes,peterdeluise,False,/lX27o3ccY11wAfOlQGGIDzCd6pO.jpg,,0.0,"Fantasy, Drama, Family",,40205.0,tt1646876,en,16 Wishes,"The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything.",21.253,/tO8TZvH83uHtrLnec6f684xfzOB.jpg,MarVista Entertainment,United States of America,2010-10-02,0.0,90.0,English,Released,"Everyone's sweet 16 is special, Abby's is magical.",16 Wishes,False,6.304,1253.0,10.0,2010.0,Peter DeLuise
1917,4.2,4.3,265567,Sam Mendes,2020-01-15,119.0,26227.0,1487.0,40.0,1.0,2020.0,1917,sammendes,False,/2WgieNR1tGHlpJUsolbVzbUbE1O.jpg,,100000000.0,"War, Action, Drama",https://www.1917.movie/,530915.0,tt8579674,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",47.7,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners","India, Spain, United Kingdom, United States of America",2019-12-25,394638258.0,119.0,"English, Français, Deutsch",Released,Time is the enemy,1917,False,7.991,11583.0,12.0,2019.0,Sam Mendes
2001 Maniacs: Field of Screams,,1.1,201711,Tim Sullivan,2012-01-19,84.0,40.0,8.0,,1.0,2012.0,2001maniacsfieldofscreams,timsullivan,False,/wtCH8dPzp6r5e5pRNdzHc5bNmOB.jpg,2001 Maniacs Collection,500000.0,"Comedy, Horror",,40912.0,tt0858411,en,2001 Maniacs: Field of Screams,"When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road and head to Iowa where they encounter spoiled heiresses Rome &amp; Tina Sheraton and the cast and crew of their ""Road Rascals"" reality show. Performing ""The Bloodiest Show on Earth"", our Southern Maniacs prove more than ratings killers in what John Landis has called ""one of the rare sequels that surpasses the original"".",4.494,/p6mCYm4YtYXAam9dAwrwjRwklNB.jpg,,United States of America,2010-07-20,0.0,86.0,English,Released,"If They Kill You, They Will Come!",2001 Maniacs: Field of Screams,False,3.9,70.0,7.0,2010.0,Tim Sullivan
200 MPH,,1.1,198696,Cole S. McKay,2012-03-01,92.0,44.0,15.0,,3.0,2012.0,200mph,colesmckay,False,/krhVfJHf0Xslar1yzWg5tno5ie1.jpg,,0.0,"Action, Thriller",,63297.0,tt1823051,en,200 MPH,"When the older brother (Tommy Nash) he idolizes is run off the road by a ruthless drug dealer (Darren Thomas) during a nighttime street race known as Sepulveda Suicide, Rick Merchant (Jaz Martin) channels his grief into getting revenge behind the wheel. But to win, he’ll need to modify his trusty 1978 Datsun 280Z — with help from a pretty mechanic (Hennely Jimenez) — to get the maximum speed out of its machinery.",4.035,/9g13tPE0qeasLfOJeqPX7NFdQZN.jpg,The Asylum,United States of America,2011-04-26,0.0,90.0,English,Released,Some limits should never be crossed!,200 MPH,False,3.682,33.0,4.0,2011.0,Cole S. McKay
2010: Moby Dick,,1.6,211160,Trey Stokes,,87.0,24.0,5.0,,,,2010mobydick,treystokes,False,/gAza2rhFRLioz4gIgsuXs3BmFeE.jpg,,500000.0,"Action, Adventure",,50053.0,tt1694508,en,2010: Moby Dick,"That infamous whale is bigger, badder and a whole lot stronger in this sci-fi reimagining of Herman Melville’s classic tale of the battle between man, sea and sea creature starring “Xena” alum Rene O’Connor as the (traditionally male) narrator. But the boat — now a high-tech submarine — is also bigger, and Capt. Ahab is as determined as ever to settle the score and take down the mighty sea mammal that maimed him.",7.922,/nlH84l2lVZ7voCBZgDywJCGGHgX.jpg,The Asylum,United States of America,2010-11-23,0.0,87.0,English,Released,Herman Melville's classic tale retold.,2010: Moby Dick,False,3.0,62.0,11.0,2010.0,Trey Stokes
20th Century Women,3.6,3.5,234766,Mike Mills,2017-03-01,119.0,723.0,61.0,25.0,3.0,2017.0,20thcenturywomen,mikemills,False,/5eZ8kRSlD8P8a42y9GEGl1yAqOb.jpg,,7000000.0,Drama,http://www.20thcenturywomen-movie.com/,342737.0,tt4385888,en,20th Century Women,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",19.671,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,"Annapurna Pictures, Archer Gray, Modern People",United States of America,2016-12-28,5664764.0,119.0,English,Released,,20th Century Women,False,7.351,1074.0,12.0,2016.0,Mike Mills
211,,1.6,253635,York Alec Shackleton,2018-11-05,86.0,194.0,26.0,,11.0,2018.0,211,yorkalecshackleton,False,/7eTWQb475pM9H3NEOiUzGYASEx0.jpg,,0.0,"Crime, Action, Thriller",,500919.0,tt4976192,en,211,"Inspired by one of the longest and bloodiest real-life events in police history, Officer Mike Chandler and a young civilian passenger find themselves under-prepared and outgunned when fate puts them squarely in the crosshairs of a daring bank heist in progress by a fearless team of highly-trained and heavily-armed men.",17.78,/81RColr4rau6DZ7z9eMsksokcfk.jpg,"Millennium Media, Nu Image Bulgaria, 211 Productions",United States of America,2018-05-30,1052222.0,86.0,English,Released,Your life can change in an instant.,211,False,5.391,417.0,5.0,2018.0,York Alec Shackleton
2:22,,2.5,193420,Paul Currie,2018-03-07,99.0,380.0,37.0,,3.0,2018.0,222,paulcurrie,False,/1HoDcETfVD3AjcmWxcCVwu5MGj8.jpg,,0.0,"Science Fiction, Mystery, Thriller, Romance",,269795.0,tt1131724,en,2:22,"Two planes almost collide after a blinding flash of light paralyzes air traffic controller Dylan Branson for a few seconds. Suspended from his job, Dylan starts to notice an ominous pattern of sounds and events that repeats itself in exactly the same manner every day, ending precisely at 2:22 p.m. Also drawn into a complex relationship with a woman, Dylan must figure out a way to break the power of the past and take control of time itself.",22.281,/rj0h3RnKX5CB8X5UE1PfpMSV4MP.jpg,"Screen Australia, Lightstream Pictures, Wild Eddie, 2929 Productions, Screen NSW, Ingenious Media, Good Universe","Australia, United Kingdom, United States of America",2017-06-29,3945729.0,99.0,English,Released,"To save their future, he must fight his fate.",2:22,False,5.969,1356.0,6.0,2017.0,Paul Currie
22 July,,3.5,258365,Paul Greengrass,2020-04-10,143.0,2807.0,69.0,,4.0,2020.0,22july,paulgreengrass,False,/rKzHtW1bdboA89FwiyRBNTY7edc.jpg,,20000000.0,"History, Drama, Thriller, Crime",https://www.netflix.com/title/80210932,474354.0,tt7280898,en,22 July,"On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",17.88,/rd940KzuIZwbdOvOUF7XDTzn8te.jpg,Scott Rudin Productions,"Iceland, Norway, United States of America",2018-10-04,0.0,143.0,English,Released,The true story of a day that started like any other,22 July,False,7.097,1107.0,10.0,2018.0,Paul Greengrass
24 Hours To Live,1.5,2.1,244941,Brian Smrz,2018-01-17,97.0,961.0,110.0,4.0,1.0,2018.0,24hourstolive,briansmrz,False,/jGjFwizX2YYoUOJkCymlfvS8aGp.jpg,,0.0,"Action, Science Fiction, Thriller, Mystery",,470114.0,tt5442456,en,24 Hours To Live,An assassin seeks redemption after being given a second chance at life.,20.514,/w0MXP33x1bq48TDC7IaNqQ8nxcc.jpg,"Thunder Road, Fundamental Films, Film Afrika","United States of America, South Africa, China",2017-10-26,5800000.0,94.0,English,Released,Contracted to kill. Fighting to survive.,24 Hours to Live,False,5.945,604.0,10.0,2017.0,Brian Smrz
2 Guns,2.1,3.3,189472,Baltasar Kormákur,2013-09-25,109.0,4568.0,344.0,9.0,9.0,2013.0,2guns,baltasarkormakur,False,/m65Wy85rsYVFPw56kgGiKE9b4Yb.jpg,,61000000.0,"Action, Comedy, Crime",,136400.0,tt1272878,en,2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,48.082,/ptURGAFktibhk7DEAbMazlmNqWa.jpg,"Universal Pictures, Marc Platt Productions, EFO Films, Envision Entertainment, Foresight Unlimited, Oasis Entertainment, Herrick Entertainment, BOOM! Studios, Empyre Media Capital",United States of America,2013-08-02,131940411.0,109.0,"Español, English",Released,"2 Guns, 1 Bank.",2 Guns,False,6.535,3875.0,8.0,2013.0,Baltasar Kormákur
2-Headed Shark Attack,,1.1,200870,Christopher Ray,2020-06-17,88.0,208.0,57.0,,6.0,2020.0,2headedsharkattack,christopherray,False,/ihRhARJBrq3FRQNf6u0Ko99GjVd.jpg,2-Headed Shark Attack Collection,0.0,"Horror, Action, Science Fiction, Comedy",http://newsite.theasylum.cc/index.php/titles/detail?id=95546c3a-0ced-e311-80c1-782bcb56fee6,86703.0,tt2043757,en,2-Headed Shark Attack,"A Semester at Sea ship is attacked and sunk by a mutated two-headed shark, and the survivors seek refuge on a deserted atoll. The coeds, however, are no longer safe when the atoll starts flooding.",17.298,/elKZZhpc6fVFgMFPZaVAC4l1JdM.jpg,The Asylum,United States of America,2012-06-26,0.0,90.0,"English, Türkçe, Español",Released,"1 Body, 2 Heads and 6,000 Teeth",2-Headed Shark Attack,False,4.452,259.0,6.0,2012.0,Christopher Ray
300 - Rise Of An Empire,2.5,3.2,181022,Noam Murro,2014-03-05,102.0,19715.0,1258.0,15.0,3.0,2014.0,300riseofanempire,noammurro,False,/Admlp6IYUI9UJEx451dvGldK7Mh.jpg,300 Collection,110000000.0,"Action, Drama, War",http://www.300themovie.com/,53182.0,tt1253863,en,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",44.686,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",United States of America,2014-03-05,337580051.0,102.0,English,Released,Seize your glory!,300: Rise of an Empire,False,6.101,6157.0,3.0,2014.0,Noam Murro
30 Beats,1.9,2.7,201443,Alexis Lloyd,2012-03-21,88.0,41.0,10.0,15.0,3.0,2012.0,30beats,alexislloyd,False,/y3UpyZCDgUvg93uz9pk1dNp8fTn.jpg,,0.0,"Comedy, Romance",,109416.0,tt1484521,en,30 Beats,A summer heat wave and a series of sexual encounters connect a group of New Yorkers.,2.456,/AnrISgOXEUisoV6l9WvCtJ0wRgc.jpg,Worldview Entertainment,"United States of America, France",2012-07-20,0.0,89.0,English,Released,,30 Beats,False,3.7,17.0,7.0,2012.0,Alexis Lloyd
30 Days of Night: Dark Days,,1.4,172180,Ben Ketai,2010-10-20,92.0,358.0,106.0,,10.0,2010.0,30daysofnightdarkdays,benketai,False,/f0vr5jyM416F5utSXdrKL2g0h06.jpg,30 Days of Night Collection,0.0,"Horror, Thriller",https://www.sonypictures.com/movies/30daysofnightdarkdays,42941.0,tt1320304,en,30 Days of Night: Dark Days,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",27.062,/bXHaXVGncI2WKUrNRYDyTyj3ymR.jpg,Ghost House Pictures,United States of America,2010-10-04,0.0,92.0,English,Released,Don't walk into the dark.,30 Days of Night: Dark Days,False,4.9,477.0,10.0,2010.0,Ben Ketai
30 Minutes or Less,2.3,2.3,182256,Ruben Fleischer,2011-12-28,83.0,1248.0,142.0,7.0,12.0,2011.0,30minutesorless,rubenfleischer,False,/4BQYIDsrBo4kSzU4Lc6FJNBBB3h.jpg,,28000000.0,"Action, Adventure, Comedy",http://30minutesorless.com/,62206.0,tt1622547,en,30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",25.121,/gkCO4bf8kDxF4wsUOMzhYk3Pgz2.jpg,"Columbia Pictures, Red Hour",United States of America,2011-08-11,40547440.0,83.0,"English, Deutsch, Español",Released,A lot can happen in 30 minutes.,30 Minutes or Less,False,5.75,1596.0,8.0,2011.0,Ruben Fleischer
31,,2.5,229054,Rob Zombie,2017-01-02,103.0,453.0,58.0,,1.0,2017.0,31,robzombie,False,/tDilmfaa0PqGN9d2yoGQwcS3bdW.jpg,,1500000.0,"Horror, Thriller",http://robzombie.com/movies/31-movie/,284564.0,tt3835080,en,31,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",15.377,/jHkIIkP4O0vUkSACcizOPZQIiF7.jpg,"Spectacle Entertainment Group, Windy Hill Pictures, Protagonist Pictures, Bow + Arrow Entertainment, PalmStar Media","United Kingdom, United States of America",2016-09-15,850419.0,102.0,"Deutsch, English, Español",Released,Welcome to hell.,31,False,5.411,745.0,9.0,2016.0,Rob Zombie
3 Days to Kill,2.0,2.5,208084, McG,2014-03-19,116.0,2922.0,405.0,8.0,3.0,2014.0,3daystokill,mcg,False,/oL4Ycdowo8BFyDvNeMImcpiarIH.jpg,,28000000.0,"Action, Drama, Thriller",,192102.0,tt2172934,en,3 Days to Kill,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",25.39,/xhSoCoiMAXa4rOM7KhFSOs3gbh7.jpg,"Wonderland Sound and Vision, EuropaCorp, Relativity Media, 20th Century Fox","France, United States of America",2014-02-14,53260230.0,113.0,English,Released,"The question is, kill or die?",3 Days to Kill,False,6.069,2027.0,2.0,2014.0,McG
3 From Hell,,2.7,260161,Rob Zombie,2020-06-02,111.0,249.0,24.0,,6.0,2020.0,3fromhell,robzombie,False,/mDojtDx8YkrhFibz477SNLkzQf4.jpg,Firefly Collection,3000000.0,"Horror, Crime, Action",http://threefromhell.com/,489064.0,tt8134742,en,3 from Hell,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained. Teaming up with Otis’ half-brother Winslow, the demented Firefly clan escape to unleash a whole new wave of murder, madness and mayhem.",17.426,/nH6ZuEl0H9ZocqKItByG8ECsZsp.jpg,"Lionsgate, Capital Arts Entertainment, Spookshow International",United States of America,2019-09-16,2295825.0,115.0,"English, Español",Released,The Evil Returns,3 from Hell,False,5.831,426.0,9.0,2019.0,Rob Zombie
3 Generations,,3.1,232774,Gaby Dellal,2017-03-22,93.0,166.0,12.0,,3.0,2017.0,3generations,gabydellal,False,/aefR29q5J8RrtDS5k0dFEdKmzl4.jpg,,10000000.0,"Comedy, Drama",,300667.0,tt4158624,en,3 Generations,"A teenager transitions from female to male, and his family must come to terms with that fact.",12.867,/A40ko85pS3yrkzeYVuVKB8Xbjjq.jpg,"IM Global, Big Beach",United States of America,2016-10-27,680351.0,87.0,English,Released,A Family In Transition,3 Generations,False,6.4,420.0,10.0,2016.0,Gaby Dellal
3-Headed Shark Attack,,1.4,238324,Christopher Ray,,89.0,37.0,9.0,,,,3headedsharkattack,christopherray,False,/e4uM6kkeDuMI8U5WzBnWc2sl8vb.jpg,2-Headed Shark Attack Collection,0.0,"Science Fiction, Action, Horror",,342927.0,tt4685096,en,3-Headed Shark Attack,"The world’s greatest killing machine is three times as deadly when a mutated shark threatens a cruise ship. As the shark eats its way from one end of the ship to the next, the passengers fight the deadly predator using anything they can find.",12.31,/47lLJNQJQaooewVhXEHxWwbSztc.jpg,"Syfy, The Asylum",United States of America,2015-07-20,0.0,90.0,English,Released,More HEADS! More DEADS!,3-Headed Shark Attack,False,4.5,173.0,7.0,2015.0,Christopher Ray
400 Days,,1.6,232552,Matt Osterman,2015-12-16,90.0,631.0,111.0,,12.0,2015.0,400days,mattosterman,False,/37bqZZ23ORR4hmvHXgJNiqlC0Vk.jpg,,0.0,"Mystery, Science Fiction, Thriller",http://www.naafilms.com/#400days,332502.0,tt3774790,en,400 Days,"4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but, when something goes terribly wrong and they are forced to leave the simulation, they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?",11.698,/eGH9FWmvUZsbVi3qqxXsI4v6NRw.jpg,New Artists Alliance,United States of America,2015-10-29,0.0,91.0,English,Released,Time to Kill,400 Days,False,4.3,446.0,10.0,2015.0,Matt Osterman
40 Days and Nights,,1.3,213200,Peter Geiger,2013-09-17,86.0,65.0,23.0,,9.0,2013.0,40daysandnights,petergeiger,False,/umdFyHZp2pkP76xPvdg1rUJrTcp.jpg,,0.0,"Action, Science Fiction, Adventure, Thriller",,145738.0,tt2439946,en,40 Days and Nights,"When a colossal tectonic shift causes the sea level to start rising, a microbiologist gathers the DNA of as many species as she can, while the military creates an ""ark"" in a desperate attempt to preserve life on Earth.",10.78,/bAHXPIZy1t8kiEqb7hn4BRbuuBd.jpg,The Asylum,United States of America,2012-12-15,0.0,90.0,English,Released,An Apocalyptic Disaster of Biblical Proportions.,40 Days and Nights,False,3.0,68.0,12.0,2012.0,Peter Geiger
